code,name,market,sector
1850,南海辰村建設,スタンダード（内国株式）,建設業
1852,淺沼組,プライム（内国株式）,建設業
1853,森組,スタンダード（内国株式）,建設業
1860,戸田建設,プライム（内国株式）,建設業
1861,熊谷組,プライム（内国株式）,建設業
1866,北野建設,スタンダード（内国株式）,建設業
1867,植木組,スタンダード（内国株式）,建設業
186A,アストロスケールホールディングス,グロース（内国株式）,サービス業
1870,矢作建設工業,プライム（内国株式）,建設業
1871,ピーエス・コンストラクション,プライム（内国株式）,建設業
1873,日本ハウスホールディングス,プライム（内国株式）,建設業
1878,大東建託,プライム（内国株式）,不動産業
1879,新日本建設,プライム（内国株式）,建設業
1882,東亜道路工業,プライム（内国株式）,建設業
1885,東亜建設工業,プライム（内国株式）,建設業
1887,日本国土開発,プライム（内国株式）,建設業
1888,若築建設,プライム（内国株式）,建設業
1893,五洋建設,プライム（内国株式）,建設業
1897,金下建設,スタンダード（内国株式）,建設業
1898,世紀東急工業,プライム（内国株式）,建設業
1899,福田組,プライム（内国株式）,建設業
189A,Ｄ＆Ｍカンパニー,グロース（内国株式）,サービス業
1904,大成温調,スタンダード（内国株式）,建設業
1905,テノックス,スタンダード（内国株式）,建設業
1909,日本ドライケミカル,スタンダード（内国株式）,機械
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,グロース（内国株式）,医薬品
1911,住友林業,プライム（内国株式）,建設業
1914,日本基礎技術,スタンダード（内国株式）,建設業
1921,巴コーポレーション,スタンダード（内国株式）,建設業
1925,大和ハウス工業,プライム（内国株式）,建設業
1926,ライト工業,プライム（内国株式）,建設業
1928,積水ハウス,プライム（内国株式）,建設業
1929,日特建設,プライム（内国株式）,建設業
192A,インテグループ,グロース（内国株式）,サービス業
1930,北陸電気工事,プライム（内国株式）,建設業
1934,ユアテック,プライム（内国株式）,建設業
1938,日本リーテック,プライム（内国株式）,建設業
1939,四電工,プライム（内国株式）,建設業
1941,中電工,プライム（内国株式）,建設業
1942,関電工,プライム（内国株式）,建設業
1944,きんでん,プライム（内国株式）,建設業
1945,東京エネシス,プライム（内国株式）,建設業
1946,トーエネック,プライム（内国株式）,建設業
1948,弘電社,スタンダード（内国株式）,建設業
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,グロース（内国株式）,サービス業
1950,日本電設工業,プライム（内国株式）,建設業
1951,エクシオグループ,プライム（内国株式）,建設業
1952,新日本空調,プライム（内国株式）,建設業
1959,クラフティア,プライム（内国株式）,建設業
195A,ＭＵＳＣＡＴ　ＧＲＯＵＰ,グロース（内国株式）,サービス業
1960,サンテック,スタンダード（内国株式）,建設業
1961,三機工業,プライム（内国株式）,建設業
1963,日揮ホールディングス,プライム（内国株式）,建設業
1964,中外炉工業,プライム（内国株式）,建設業
1965,テクノ菱和,スタンダード（内国株式）,建設業
1966,高田工業所,スタンダード（内国株式）,建設業
1967,ヤマト,スタンダード（内国株式）,建設業
1968,太平電業,プライム（内国株式）,建設業
1969,高砂熱学工業,プライム（内国株式）,建設業
196A,ＭＦＳ,グロース（内国株式）,その他金融業
1972,三晃金属工業,スタンダード（内国株式）,建設業
1975,朝日工業社,プライム（内国株式）,建設業
1976,明星工業,プライム（内国株式）,建設業
1979,大氣社,プライム（内国株式）,建設業
197A,タウンズ,スタンダード（内国株式）,医薬品
1980,ダイダン,プライム（内国株式）,建設業
1981,協和日成,スタンダード（内国株式）,建設業
1982,日比谷総合設備,プライム（内国株式）,建設業
198A,ＰｏｓｔＰｒｉｍｅ,グロース（内国株式）,情報・通信業
1992,神田通信機,スタンダード（内国株式）,建設業
1994,高橋カーテンウォール工業,スタンダード（内国株式）,建設業
1997,暁飯島工業,スタンダード（内国株式）,建設業
2001,ニップン,プライム（内国株式）,食料品
2002,日清製粉グループ本社,プライム（内国株式）,食料品
2003,日東富士製粉,スタンダード（内国株式）,食料品
2004,昭和産業,プライム（内国株式）,食料品
2009,鳥越製粉,スタンダード（内国株式）,食料品
2053,中部飼料,プライム（内国株式）,食料品
2055,日和産業,スタンダード（内国株式）,食料品
205A,ロゴスホールディングス,グロース（内国株式）,建設業
2060,フィード・ワン,プライム（内国株式）,食料品
206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,グロース（内国株式）,医薬品
208A,構造計画研究所ホールディングス,スタンダード（内国株式）,情報・通信業
2108,日本甜菜製糖,プライム（内国株式）,食料品
2109,ＤＭ三井製糖,プライム（内国株式）,食料品
2112,塩水港精糖,スタンダード（内国株式）,食料品
2114,フジ日本,スタンダード（内国株式）,食料品
2117,ウェルネオシュガー,プライム（内国株式）,食料品
211A,カドス・コーポレーション,スタンダード（内国株式）,建設業
2120,ＬＩＦＵＬＬ,プライム（内国株式）,サービス業
2121,ＭＩＸＩ,プライム（内国株式）,情報・通信業
2122,インタースペース,スタンダード（内国株式）,サービス業
2124,ジェイエイシーリクルートメント,プライム（内国株式）,サービス業
2127,日本Ｍ＆Ａセンターホールディングス,プライム（内国株式）,サービス業
212A,フィットイージー,プライム（内国株式）,サービス業
2130,メンバーズ,プライム（内国株式）,サービス業
2134,北浜キャピタルパートナーズ,スタンダード（内国株式）,サービス業
2136,ヒップ,スタンダード（内国株式）,サービス業
2138,クルーズ,スタンダード（内国株式）,情報・通信業
2139,中広,スタンダード（内国株式）,サービス業
2146,ＵＴグループ,プライム（内国株式）,サービス業
2148,アイティメディア,プライム（内国株式）,サービス業
2152,幼児活動研究会,スタンダード（内国株式）,サービス業
2153,Ｅ・Ｊホールディングス,プライム（内国株式）,サービス業
2154,オープンアップグループ,プライム（内国株式）,サービス業
2156,セーラー広告,スタンダード（内国株式）,サービス業
2157,コシダカホールディングス,プライム（内国株式）,サービス業
2158,ＦＲＯＮＴＥＯ,グロース（内国株式）,サービス業
215A,タイミー,グロース（内国株式）,サービス業
2160,ジーエヌアイグループ,グロース（内国株式）,医薬品
2162,ｎｍｓ　ホールディングス,スタンダード（内国株式）,サービス業
2163,アルトナー,プライム（内国株式）,サービス業
2164,地域新聞社,スタンダード（内国株式）,サービス業
2168,パソナグループ,プライム（内国株式）,サービス業
2169,ＣＤＳ,スタンダード（内国株式）,サービス業
2170,リンクアンドモチベーション,プライム（内国株式）,サービス業
2173,博展,グロース（内国株式）,サービス業
2175,エス・エム・エス,プライム（内国株式）,サービス業
2179,成学社,スタンダード（内国株式）,サービス業
2180,サニーサイドアップグループ,スタンダード（内国株式）,サービス業
2181,パーソルホールディングス,プライム（内国株式）,サービス業
2183,リニカル,スタンダード（内国株式）,サービス業
2185,シイエム・シイ,スタンダード（内国株式）,サービス業
2186,ソーバル,スタンダード（内国株式）,サービス業
218A,Ｌｉｂｅｒａｗａｒｅ,グロース（内国株式）,精密機器
2193,クックパッド,スタンダード（内国株式）,サービス業
2195,アミタホールディングス,グロース（内国株式）,サービス業
2198,アイ・ケイ・ケイホールディングス,プライム（内国株式）,サービス業
219A,Ｈｅａｒｔｓｅｅｄ,グロース（内国株式）,医薬品
2201,森永製菓,プライム（内国株式）,食料品
2204,中村屋,スタンダード（内国株式）,食料品
2206,江崎グリコ,プライム（内国株式）,食料品
2207,ｍｅｉｔｏ,プライム（内国株式）,食料品
2208,ブルボン,スタンダード（内国株式）,食料品
2209,井村屋グループ,プライム（内国株式）,食料品
