code,name,market,sector,price,bps,eps,cash,securities,investmentSecurities,interestDebt,netAssets,rentalBook,rentalMarket,shares,treasuryShares,period,sourceUrl,status,error,fetchedAt
1436,グリーンエナジー＆カンパニー,グロース（内国株式）,建設業,1394,459.42,40.46,2085.36,0,0,5918.54,5694,0,0,12393888,0,2026/04,https://irbank.net/1436/results,取得成功,,2026-06-27T00:59:44.085Z
1438,岐阜造園,スタンダード（内国株式）,建設業,1890,1386.55,144.57,2618.8,0,0,251.93,4144.48,0,0,2989059,0,2026/03,https://irbank.net/1438/results,取得成功,,2026-06-27T00:59:44.093Z
143A,イシン,グロース（内国株式）,サービス業,718,629.54,17.07,1266.8,0,0,0,1677.92,0,0,2665311,0,2026/03,https://irbank.net/143A/results,取得成功,,2026-06-27T00:59:44.102Z
1443,技研ホールディングス,スタンダード（内国株式）,建設業,244,796.01,39.42,1394.23,0,0,2857.54,12922.56,0,0,16234168,0,2026/03,https://irbank.net/1443/results,取得成功,,2026-06-27T00:59:44.105Z
1444,ニッソウ,グロース（内国株式）,建設業,2806,1514.4,-83.65,1878.85,0,0,1062.53,1703.73,0,0,1125020,0,2026/04,https://irbank.net/1444/results,取得成功,,2026-06-27T00:59:44.104Z
1446,キャンディル,スタンダード（内国株式）,建設業,525,338.06,21.5,1626.85,0,0,1220,2961.8,0,0,8761167,0,2026/03,https://irbank.net/1446/results,取得成功,,2026-06-27T00:59:44.115Z
1447,ＳＡＡＦホールディングス,グロース（内国株式）,建設業,259,100.26,18.1,3264.02,0,0,9440.55,2596,0,0,25892679,0,2026/03,https://irbank.net/1447/results,取得成功,,2026-06-27T00:59:44.107Z
1450,ＴＡＮＡＫＥＮ,スタンダード（内国株式）,建設業,1340,1072.04,160.94,2798.37,0,0,0,9325.4,0,0,8698743,0,2026/03,https://irbank.net/1450/results,取得成功,,2026-06-27T00:59:44.116Z
145A,Ｌ　ｉｓ　Ｂ,グロース（内国株式）,情報・通信業,768,373.32,35.12,1413.78,0,0,1240.65,1847.96,0,0,4950070,0,2026/03,https://irbank.net/145A/results,取得成功,,2026-06-27T00:59:44.128Z
146A,コロンビア・ワークス,スタンダード（内国株式）,不動産業,2871,2261.62,544.28,7855,0,0,46802,17439,0,0,7710844,0,2026/03,https://irbank.net/146A/results,取得成功,,2026-06-27T00:59:44.177Z
147A,ソラコム,グロース（内国株式）,情報・通信業,979,241.91,15.49,9269.38,0,0,687.5,11747,0,0,48559382,0,2026/03,https://irbank.net/147A/results,取得成功,,2026-06-27T00:59:44.175Z
148A,ハッチ・ワーク,グロース（内国株式）,情報・通信業,1658,541.05,112.58,1391.04,0,0,441.05,1027.58,0,0,1899233,0,2026/03,https://irbank.net/148A/results,取得成功,,2026-06-27T00:59:44.198Z
1491,中外鉱業,スタンダード（内国株式）,非鉄金属,642,651.86,69.59,6299.96,0,0,3648.56,9366.95,0,0,14369573,0,2026/03,https://irbank.net/1491/results,取得成功,,2026-06-27T00:59:44.202Z
149A,シンカ,グロース（内国株式）,情報・通信業,790,313.64,-169.86,984.5,0,0,60,1047.46,0,0,3339689,0,2026/03,https://irbank.net/149A/results,取得成功,,2026-06-27T00:59:44.201Z
150A,ＪＳＨ,グロース（内国株式）,サービス業,343,342.29,7.06,884.61,0,0,1077.47,1944.59,0,0,5681118,0,2026/03,https://irbank.net/150A/results,取得成功,,2026-06-27T00:59:44.198Z
1514,住石ホールディングス,スタンダード（内国株式）,鉱業,520,487.27,26.75,16924,0,0,0,29150,0,0,59823096,0,2026/03,https://irbank.net/1514/results,取得成功,,2026-06-27T00:59:44.205Z
1515,日鉄鉱業,プライム（内国株式）,鉱業,2285,1999.26,152.51,43236,0,0,62306,167622,0,0,83842022,0,2026/03,https://irbank.net/1515/results,取得成功,,2026-06-27T00:59:44.230Z
1518,三井松島ホールディングス,プライム（内国株式）,その他製品,1498,1453.19,185.4,5701,0,0,50237,55800,0,0,38398282,0,2026/03,https://irbank.net/1518/results,取得成功,,2026-06-27T00:59:44.227Z
