window,days,code,name,points,firstDate,lastDate,periodReturn,strategy,timing,confidence,trades,winRate,averageReturn,maxDrawdown,score,judgement,error
1年,380,8818,京阪神ビルディング,253,2025-06-06,2026-06-19,42.3,買いライン到達で買い,待つ,参考,0,0,0,0,-100,未約定,
1年,380,3892,岡山製紙,253,2025-06-06,2026-06-19,12.5,買いライン到達で買い,待つ,参考,0,0,0,0,-100,未約定,
2年,760,8841,テーオーシー,508,2024-05-22,2026-06-19,39.7,買いライン到達で買い,待つ,参考,0,0,0,0,-100,未約定,
2年,760,6505,東洋電機製造,508,2024-05-22,2026-06-19,80.7,買いライン到達で買い,待つ,参考,1,100,23.3,0,70.9,良さそう,
2年,760,3123,サイボー,508,2024-05-22,2026-06-19,23.8,買いライン到達で買い,待つ,参考,0,0,0,0,-100,未約定,
2年,760,3765,ガンホー,508,2024-05-22,2026-06-19,-13.8,5%以内で早めに買い,待つ,参考,1,100,0,-0.8,42.4,中立,
2年,760,8802,三菱地所,508,2024-05-22,2026-06-19,54.3,買いライン到達で買い,待つ,中,2,50,48.5,-19.5,68.6,見送り寄り,
2年,760,2484,出前館,508,2024-05-22,2026-06-19,-52.8,下げ止まり反転で買い,買い場待ち,低,4,0,-7.1,-10.2,-6.7,見送り寄り,
2年,760,1897,金下建設,508,2024-05-22,2026-06-19,4.3,買いライン到達で買い,買い候補,参考,1,100,1.9,-12.3,35.5,良さそう,
2年,760,9672,東京都競馬,508,2024-05-22,2026-06-19,14,5%以内で早めに買い,売り検討,参考,1,100,12.3,0,57.8,良さそう,
2年,760,8830,住友不動産,508,2024-05-22,2026-06-19,45.3,下げ止まり反転で買い,待つ,高め,6,66.7,14.3,-10.5,45.5,良さそう,
2年,760,8801,三井不動産,508,2024-05-22,2026-06-19,6.6,買いライン到達で買い,待つ,参考,0,0,0,0,-100,未約定,
2年,760,9830,トラスコ中山,508,2024-05-22,2026-06-19,-11.4,買いライン到達で買い,待つ,参考,0,0,0,0,-100,未約定,
2年,760,3471,三井不動産ロジスティクスパーク投資法人,508,2024-05-22,2026-06-19,-3.9,5%以内で早めに買い,待つ,低,2,50,-1.8,-11.1,15,見送り寄り,
2年,760,8018,三共生興,508,2024-05-22,2026-06-19,9.5,買いライン到達で買い,待つ,中,2,50,22.7,-16.8,39.7,見送り寄り,
2年,760,6513,オリジン,508,2024-05-22,2026-06-19,-16.4,買いライン到達で買い,買い候補,低,2,50,-4.7,-15.9,7.6,見送り寄り,
2年,760,1443,技研HD,508,2024-05-22,2026-06-19,16,買いライン到達で買い,買い場待ち,中,4,50,13.9,-21.5,29.5,見送り寄り,
2年,760,9409,テレビ朝日HD,508,2024-05-22,2026-06-19,59.5,5%以内で早めに買い,待つ,参考,1,100,34.6,0,84.5,良さそう,
2年,760,9402,中部日本放送,0,,,,,,,0,,,,,取得失敗,404 Not Found
2年,760,9324,安田倉庫,508,2024-05-22,2026-06-19,59.1,買いライン到達で買い,待つ,参考,0,0,0,0,-100,未約定,
2年,760,8818,京阪神ビルディング,508,2024-05-22,2026-06-19,41.5,買いライン到達で買い,待つ,参考,0,0,0,0,-100,未約定,
2年,760,3892,岡山製紙,508,2024-05-22,2026-06-19,13.4,下げ止まり反転で買い,待つ,高め,2,100,9.1,0,56.9,良さそう,
