priority,code,name,source,market,sector,action,signal,strategy,score,winRate,averageReturn,maxDrawdown,periodReturn,reason,nextCheck,caution
188.1,1914,日本基礎技術,自動買い候補予備軍,スタンダード（内国株式）,建設業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,127.64,100,18.3,0,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
187.9,5363,東京窯業,自動買い候補予備軍,スタンダード（内国株式）,ガラス・土石製品,最優先で通常候補前確認,今買い候補,財務+価格自動判定,129.5,100,16.4,-0.4,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
187.6,9130,共栄タンカー,自動買い候補予備軍,スタンダード（内国株式）,海運業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,126.1,100,20.1,-0.7,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
187.4,9767,日建工学,自動買い候補予備軍,スタンダード（内国株式）,サービス業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,136.07999999999998,100,9.7,-1.8,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
187.3,8104,クワザワホールディングス,自動買い候補予備軍,スタンダード（内国株式）,卸売業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,133.76,100,12.1,-1.7,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
186.9,4678,秀英予備校,自動買い候補予備軍,スタンダード（内国株式）,サービス業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,140.1,100,3.4,-0.3,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
186,8713,フィデアホールディングス,自動買い候補予備軍,プライム（内国株式）,銀行業,最優先で通常候補前確認,買い場近い,財務+価格自動判定,132.65,100,13.5,-3.5,0,買い場近い。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
185.5,4624,イサム塗料,自動買い候補予備軍,スタンダード（内国株式）,化学,最優先で通常候補前確認,今買い候補,財務+価格自動判定,139.18,100,6,-3.8,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
185.2,8147,トミタ,自動買い候補予備軍,スタンダード（内国株式）,卸売業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,131.82999999999998,100,11.3,-1,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
185,3375,ＺＯＡ,自動買い候補予備軍,スタンダード（内国株式）,小売業,最優先で通常候補前確認,買い場近い,財務+価格自動判定,127.88,100,16.4,-2,0,買い場近い。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
184.9,7538,大水,自動買い候補予備軍,スタンダード（内国株式）,卸売業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,127.6,100,15.3,-0.6,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
184.5,7279,ハイレックスコーポレーション,自動買い候補予備軍,スタンダード（内国株式）,輸送用機器,最優先で通常候補前確認,今買い候補,財務+価格自動判定,145.48000000000002,50,7,-2.9,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
183.1,8364,清水銀行,自動買い候補予備軍,プライム（内国株式）,銀行業,最優先で通常候補前確認,買い場近い,財務+価格自動判定,131.17000000000002,100,13.9,-5.7,0,買い場近い。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
182.4,6335,東京機械製作所,自動買い候補予備軍,スタンダード（内国株式）,機械,最優先で通常候補前確認,今買い候補,財務+価格自動判定,125.52,100,19.6,-6,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
182.2,3352,バッファロー,自動買い候補予備軍,スタンダード（内国株式）,小売業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,131.44,100,10,-2.8,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
181.5,7218,田中精密工業,自動買い候補予備軍,スタンダード（内国株式）,輸送用機器,最優先で通常候補前確認,今買い候補,財務+価格自動判定,136.20999999999998,100,3,-1.8,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
181.5,8944,ランドビジネス,自動買い候補予備軍,スタンダード（内国株式）,不動産業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,121.41,100,21.5,-4.1,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
181.2,9537,北陸瓦斯,自動買い候補予備軍,スタンダード（内国株式）,電気・ガス業,最優先で通常候補前確認,買い場近い,財務+価格自動判定,126.18,100,14.2,-2.2,0,買い場近い。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
