rank,code,name,market,sector,status,normalCandidate,autoBuyScore,price,buyLine,targetPrice,sellGuidePrice,buyRatio,upside,pbr,per,netCashRatio,winRate,averageReturn,maxDrawdown,signal,judgement,metricSource,action,comment,caution
0,5363,東京窯業,スタンダード（内国株式）,ガラス・土石製品,自動今買い候補,通常候補前,105.5,674,679.5,2446.8,849.38,0.99,263.03,0.63,6.61,31.95,100,16.4,-0.4,今買い候補,良さそう,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,8542,トマト銀行,スタンダード（内国株式）,銀行業,自動今買い候補,通常候補前,104.94,1487,1732.7,7611.9,2165.88,0.86,411.9,0.3,8.58,621.88,50,3,-3.9,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,7822,永大産業,スタンダード（内国株式）,その他製品,自動今買い候補,通常候補前,104.45,240,452.5,1448.7,565.63,0.53,503.62,0.25,5.3,-169.11,100,6.3,-2.1,今買い候補,良さそう,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,8349,東北銀行,スタンダード（内国株式）,銀行業,自動今買い候補,通常候補前,104.36,1383,1691.3,5417.61,2114.13,0.82,291.73,0.39,8.18,514.78,50,2.6,-6.4,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,6493,ＮＩＴＴＡＮ,スタンダード（内国株式）,輸送用機器,自動今買い候補,通常候補前,104.31,452,624.9,1645.45,781.13,0.72,264.04,0.42,7.23,12.8,50,5.1,-3.6,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,3375,ＺＯＡ,スタンダード（内国株式）,小売業,自動買い場近い,通常候補前,103.88,1660,1620.59,6484.32,2025.74,1.02,290.62,0.66,6.14,9.75,100,16.4,-2,買い場近い,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,買い場近い。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,8046,丸藤シートパイル,スタンダード（内国株式）,卸売業,自動今買い候補,通常候補前,103.65,842,1014.9,2904.58,1268.63,0.83,244.96,0.44,8.3,26.72,66.7,6.6,-3.5,今買い候補,良さそう,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,1914,日本基礎技術,スタンダード（内国株式）,建設業,自動今買い候補,通常候補前,103.64,652,825.5,2067.6,1031.88,0.79,217.12,0.48,7.9,-14.04,100,18.3,0,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,7538,大水,スタンダード（内国株式）,卸売業,自動今買い候補,通常候補前,103.6,348,477.2,1442.36,596.5,0.73,314.47,0.37,7.29,-31.47,100,15.3,-0.6,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,4365,松本油脂製薬,スタンダード（内国株式）,化学,自動買い場近い,通常候補前,103.4,20600,19684.62,66485.04,24720,1.05,222.74,0.67,7.44,55.83,100,2,0,買い場近い,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,買い場近い。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
