code,name,sector,reviewStatus,score,price,buyLine,targetPrice,buyRatio,upside,pbr,per,netCashRatio,winRate,averageReturn,maxDrawdown,trades,signal,metricSource,earningsScore,earningsLabel,salesGrowthRate,operatingProfitGrowthRate,operatingProfitTurnaround,earningsPeriod,earningsReasons,earningsCautions,disclosureTitle,financialRiskLevel,financialRiskReasons,priceValidationLevel,priceValidationReasons,auxiliaryTrades,auxiliaryWinRate,auxiliaryAverageReturn,auxiliaryMaxDrawdown,trustLevel,reasons,cautions,nextAction
9972,アルテック,卸売業,通常候補へ昇格OK,88.55,259,290.5,961.01,0.89,271.05,0.41,8.92,14.18,0,0,0,0,今買い候補,irbank:2026/02,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,auxiliaryWeak,補助検証弱い 7回/勝率42.86%/平均7.67%,7,42.86,7.67,-13.55,avoid,低PBR 0.41倍 / 低PER 8.92倍 / 買いライン圏 0.89倍 / 上昇余地大 271.05%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
2112,塩水港精糖,食料品,通常候補へ昇格OK,81.93,426,479.14,1569.84,0.89,268.51,0.57,6.51,-32.74,50,5.1,-2.9,2,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,auxiliaryGood,補助検証良好 9回/勝率55.56%/平均10.36%,9,55.56,10.36,-10.64,high,低PBR 0.57倍 / 低PER 6.51倍 / 買いライン圏 0.89倍 / 上昇余地大 268.51%,価格検証取引少 2回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
5975,東プレ,金属製品,通常候補へ昇格OK,76.37,2703,3035.3,7537.56,0.89,178.86,0.55,8.91,12.35,0,0,0,0,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,auxiliaryWeak,補助検証弱い 10回/勝率60%/平均3.98%,10,60,3.98,-21.53,avoid,低PBR 0.55倍 / 低PER 8.91倍 / 買いライン圏 0.89倍 / 上昇余地大 178.86%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
6424,高見沢サイバネティックス,機械,通常候補へ昇格OK,64.45,861,963.12,2837.28,0.89,229.53,0.57,7.28,-41.66,0,0,0,0,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,auxiliaryWeak,補助検証弱い 5回/勝率40%/平均8.24%,5,40,8.24,-7.98,avoid,低PBR 0.57倍 / 低PER 7.28倍 / 買いライン圏 0.89倍 / 上昇余地大 229.53%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
1897,金下建設,建設業,追加確認,142.74,3075,3500,9945,0.88,223.41,0.47,8.79,212.56,100,9,-1.7,2,今買い候補,confirmed,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,thin,検証取引少 2回,5,60,-0.14,-4.95,thinValidation,低PBR 0.47倍 / 低PER 8.79倍 / ネット現金厚め 212.56% / 買いライン圏 0.88倍 / 上昇余地大 223.41%,通常候補登録済みのため既存候補側で最終確認 / 価格検証取引少 2回。財務と現在価格を優先,自動ランキングには反映。原資料チェックで信頼度を上げる
8104,クワザワホールディングス,卸売業,通常候補へ昇格OK,86.65,650,742.77,1865.76,0.88,187.04,0.56,8.36,77.44,0,0,0,0,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,auxiliaryGood,補助検証良好 7回/勝率71.43%/平均4.09%,7,71.43,4.09,-11.97,high,低PBR 0.56倍 / 低PER 8.36倍 / ネット現金厚め 77.44% / 買いライン圏 0.88倍 / 上昇余地大 187.04%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
5956,トーソー,金属製品,通常候補へ昇格OK,88.95,559,633.7,2729.55,0.88,388.29,0.31,8.82,27.8,0,0,0,0,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,thin,検証取引少 0回,6,50,0.23,-9.14,thinValidation,低PBR 0.31倍 / 低PER 8.82倍 / ネット現金厚め 27.8% / 買いライン圏 0.88倍 / 上昇余地大 388.29%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
7235,東京ラヂエーター製造,輸送用機器,通常候補へ昇格OK,83.18,1418,1617.62,4537.2,0.88,219.97,0.56,7.5,39.04,0,0,0,0,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,auxiliaryGood,補助検証良好 8回/勝率75%/平均16.16%,8,75,16.16,-7.51,high,低PBR 0.56倍 / 低PER 7.5倍 / ネット現金厚め 39.04% / 買いライン圏 0.88倍 / 上昇余地大 219.97%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
9685,ＫＹＣＯＭホールディングス,情報・通信業,通常候補へ昇格OK,83.13,588,669.81,2126.16,0.88,261.59,0.56,6.64,8.62,0,0,0,0,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,auxiliaryWeak,補助検証弱い 7回/勝率28.57%/平均0.95%,7,28.57,0.95,-13.86,avoid,低PBR 0.56倍 / 低PER 6.64倍 / 買いライン圏 0.88倍 / 上昇余地大 261.59%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
5965,フジマック,金属製品,通常候補へ昇格OK,82.91,1147,1298.68,7691.04,0.88,570.54,0.57,3.58,17.24,0,0,0,0,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,auxiliaryGood,補助検証良好 6回/勝率66.67%/平均11.44%,6,66.67,11.44,-7.36,high,低PBR 0.57倍 / 低PER 3.58倍 / ネット現金厚め 17.24% / 買いライン圏 0.88倍 / 上昇余地大 570.54%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
