code,month,close,source
1301,2023-07,3485.1465,yahoo
1301,2023-08,3613.5466,yahoo
1301,2023-09,3521.8325,yahoo
1301,2023-10,3512.6609,yahoo
1301,2023-11,3457.6323,yahoo
1301,2023-12,3631.8896,yahoo
1301,2024-01,3269.6177,yahoo
1301,2024-02,3430.1179,yahoo
1301,2024-03,3399.5342,yahoo
1301,2024-04,3554.9146,yahoo
1301,2024-05,3846.8413,yahoo
1301,2024-06,3818.5901,yahoo
1301,2024-07,3752.6714,yahoo
1301,2024-08,4110.5171,yahoo
1301,2024-09,3903.3433,yahoo
1301,2024-10,3682.0437,yahoo
1301,2024-11,3879.8008,yahoo
1301,2024-12,3893.9263,yahoo
1301,2025-01,3879.8008,yahoo
1301,2025-02,3908.0518,yahoo
1301,2025-03,4087.853,yahoo
1301,2025-04,4354.8745,yahoo
1301,2025-05,4461.6831,yahoo
1301,2025-06,4549.0718,yahoo
1301,2025-07,4539.3618,yahoo
1301,2025-08,4801.5283,yahoo
1301,2025-09,4626.7505,yahoo
1301,2025-10,4660.7354,yahoo
1301,2025-11,4733.5591,yahoo
1301,2025-12,4990.8706,yahoo
1301,2026-01,5282.1665,yahoo
1301,2026-02,4816.0928,yahoo
1301,2026-03,4505.0,yahoo
1301,2026-04,4430.0,yahoo
1301,2026-05,4385.0,yahoo
1301,2026-06,4385.0,yahoo
130A,2024-01,2254.0,yahoo
130A,2024-02,2014.0,yahoo
130A,2024-03,1731.0,yahoo
130A,2024-04,1152.0,yahoo
130A,2024-05,1098.0,yahoo
130A,2024-06,934.0,yahoo
130A,2024-07,1061.0,yahoo
130A,2024-08,1002.0,yahoo
130A,2024-09,940.0,yahoo
130A,2024-10,871.0,yahoo
130A,2024-11,882.0,yahoo
130A,2024-12,802.0,yahoo
130A,2025-01,817.0,yahoo
130A,2025-02,787.0,yahoo
130A,2025-03,681.0,yahoo
130A,2025-04,688.0,yahoo
130A,2025-05,603.0,yahoo
130A,2025-06,830.0,yahoo
130A,2025-07,754.0,yahoo
130A,2025-08,724.0,yahoo
130A,2025-09,554.0,yahoo
130A,2025-10,515.0,yahoo
130A,2025-11,480.0,yahoo
130A,2025-12,493.0,yahoo
130A,2026-01,494.0,yahoo
130A,2026-02,457.0,yahoo
130A,2026-03,453.0,yahoo
130A,2026-04,416.0,yahoo
130A,2026-05,430.0,yahoo
130A,2026-06,430.0,yahoo
1332,2023-07,703.1662,yahoo
1332,2023-08,672.8215,yahoo
1332,2023-09,681.4233,yahoo
1332,2023-10,687.2012,yahoo
1332,2023-11,707.4239,yahoo
1332,2023-12,752.1564,yahoo
1332,2024-01,887.7513,yahoo
1332,2024-02,904.992,yahoo
1332,2024-03,896.3407,yahoo
1332,2024-04,833.2954,yahoo
1332,2024-05,815.5255,yahoo
1332,2024-06,852.2941,yahoo
1332,2024-07,874.9791,yahoo
1332,2024-08,867.2283,yahoo
1332,2024-09,893.0617,yahoo
1332,2024-10,895.7425,yahoo
1332,2024-11,861.0847,yahoo
1332,2024-12,820.4909,yahoo
1332,2025-01,820.9697,yahoo
1332,2025-02,864.2441,yahoo
1332,2025-03,844.3224,yahoo
1332,2025-04,825.0337,yahoo
1332,2025-05,853.0901,yahoo
1332,2025-06,862.4422,yahoo
1332,2025-07,976.1291,yahoo
1332,2025-08,1015.5834,yahoo
1332,2025-09,1058.0629,yahoo
1332,2025-10,1219.4371,yahoo
1332,2025-11,1129.1267,yahoo
1332,2025-12,1278.1636,yahoo
1332,2026-01,1528.8613,yahoo
1332,2026-02,1326.0331,yahoo
1332,2026-03,1223.5,yahoo
1332,2026-04,1325.5,yahoo
1332,2026-05,1287.0,yahoo
1332,2026-06,1287.0,yahoo
1333,2023-07,769.2033,yahoo
1333,2023-08,776.4656,yahoo
1333,2023-09,791.3805,yahoo
1333,2023-10,870.7946,yahoo
1333,2023-11,851.171,yahoo
1333,2023-12,897.317,yahoo
1333,2024-01,906.8221,yahoo
1333,2024-02,910.1948,yahoo
1333,2024-03,957.9824,yahoo
1333,2024-04,1018.7721,yahoo
1333,2024-05,984.1688,yahoo
1333,2024-06,1051.1931,yahoo
1333,2024-07,949.5654,yahoo
1333,2024-08,988.533,yahoo
1333,2024-09,951.0817,yahoo
1333,2024-10,952.0319,yahoo
1333,2024-11,961.8499,yahoo
1333,2024-12,948.2313,yahoo
1333,2025-01,989.4037,yahoo
1333,2025-02,1032.7931,yahoo
1333,2025-03,1052.2502,yahoo
1333,2025-04,1006.4582,yahoo
1333,2025-05,982.9172,yahoo
1333,2025-06,1012.5852,yahoo
1333,2025-07,1062.2471,yahoo
1333,2025-08,1106.4268,yahoo
1333,2025-09,1126.5991,yahoo
1333,2025-10,1245.0164,yahoo
1333,2025-11,1262.0266,yahoo
1333,2025-12,1362.6158,yahoo
1333,2026-01,1555.9434,yahoo
1333,2026-02,1429.3481,yahoo
1333,2026-03,1325.5,yahoo
1333,2026-04,1267.0,yahoo
1333,2026-05,1299.5,yahoo
1333,2026-06,1299.5,yahoo
135A,2024-01,6040.0,yahoo
135A,2024-02,6160.0,yahoo
135A,2024-03,4055.0,yahoo
135A,2024-04,3485.0,yahoo
135A,2024-05,3800.0,yahoo
135A,2024-06,2820.0,yahoo
135A,2024-07,2927.0,yahoo
135A,2024-08,2630.0,yahoo
135A,2024-09,2206.0,yahoo
135A,2024-10,1815.0,yahoo
135A,2024-11,2003.0,yahoo
135A,2024-12,1968.0,yahoo
135A,2025-01,2111.0,yahoo
135A,2025-02,1930.0,yahoo
135A,2025-03,2459.0,yahoo
135A,2025-04,2593.0,yahoo
135A,2025-05,2801.0,yahoo
135A,2025-06,2266.0,yahoo
135A,2025-07,2716.0,yahoo
135A,2025-08,2590.0,yahoo
135A,2025-09,2906.0,yahoo
135A,2025-10,3810.0,yahoo
135A,2025-11,3170.0,yahoo
135A,2025-12,2561.0,yahoo
135A,2026-01,2575.0,yahoo
135A,2026-02,2350.0,yahoo
135A,2026-03,3245.0,yahoo
135A,2026-04,4200.0,yahoo
135A,2026-05,3985.0,yahoo
135A,2026-06,3985.0,yahoo
1375,2023-07,870.208,yahoo
1375,2023-08,859.6891,yahoo
1375,2023-09,857.7455,yahoo
1375,2023-10,909.44,yahoo
1375,2023-11,895.0804,yahoo
1375,2023-12,927.6288,yahoo
1375,2024-01,969.7502,yahoo
1375,2024-02,1006.1278,yahoo
1375,2024-03,956.2092,yahoo
1375,2024-04,934.9601,yahoo
1375,2024-05,979.39,yahoo
1375,2024-06,986.1512,yahoo
1375,2024-07,994.8439,yahoo
1375,2024-08,966.8337,yahoo
1375,2024-09,1014.2007,yahoo
1375,2024-10,1009.3572,yahoo
1375,2024-11,1047.1355,yahoo
1375,2024-12,1131.41,yahoo
1375,2025-01,1147.8774,yahoo
1375,2025-02,1090.7257,yahoo
1375,2025-03,1135.3351,yahoo
1375,2025-04,1066.8234,yahoo
1375,2025-05,1076.6107,yahoo
1375,2025-06,1103.0367,yahoo
1375,2025-07,1050.1848,yahoo
1375,2025-08,1039.4188,yahoo
1375,2025-09,1010.7961,yahoo
1375,2025-10,1032.4069,yahoo
1375,2025-11,1033.3892,yahoo
1375,2025-12,1043.2123,yahoo
1375,2026-01,1082.5046,yahoo
1375,2026-02,1053.0354,yahoo
1375,2026-03,1050.0,yahoo
1375,2026-04,1050.0,yahoo
1375,2026-05,1115.0,yahoo
1375,2026-06,1115.0,yahoo
1376,2023-07,1307.6859,yahoo
1376,2023-08,1341.7114,yahoo
1376,2023-09,1305.8467,yahoo
1376,2023-10,1307.6859,yahoo
1376,2023-11,1297.4067,yahoo
1376,2023-12,1350.2296,yahoo
1376,2024-01,1308.5273,yahoo
1376,2024-02,1328.9152,yahoo
1376,2024-03,1323.3549,yahoo
1376,2024-04,1309.454,yahoo
1376,2024-05,1350.7993,yahoo
1376,2024-06,1346.0927,yahoo
1376,2024-07,1291.4958,yahoo
1376,2024-08,1308.4397,yahoo
1376,2024-09,1298.0852,yahoo
1376,2024-10,1285.848,yahoo
1376,2024-11,1334.1508,yahoo
1376,2024-12,1351.2311,yahoo
1376,2025-01,1324.6619,yahoo
1376,2025-02,1330.3552,yahoo
1376,2025-03,1360.7201,yahoo
1376,2025-04,1314.224,yahoo
1376,2025-05,1315.6958,yahoo
1376,2025-06,1333.1094,yahoo
1376,2025-07,1365.0343,yahoo
1376,2025-08,1457.907,yahoo
1376,2025-09,1602.0531,yahoo
1376,2025-10,1564.3235,yahoo
1376,2025-11,1582.5688,yahoo
1376,2025-12,1447.1984,yahoo
1376,2026-01,1491.0233,yahoo
1376,2026-02,1438.4333,yahoo
1376,2026-03,1372.2089,yahoo
1376,2026-04,1358.5745,yahoo
1376,2026-05,1453.0,yahoo
1376,2026-06,1453.0,yahoo
1377,2023-07,3971.4407,yahoo
1377,2023-08,4098.7915,yahoo
1377,2023-09,3815.7903,yahoo
1377,2023-10,3759.1904,yahoo
1377,2023-11,3716.1814,yahoo
1377,2023-12,3497.8616,yahoo
1377,2024-01,3445.655,yahoo
1377,2024-02,3550.0688,yahoo
1377,2024-03,3450.4009,yahoo
1377,2024-04,3203.6047,yahoo
1377,2024-05,3309.6267,yahoo
1377,2024-06,3348.0549,yahoo
1377,2024-07,3304.8232,yahoo
1377,2024-08,3391.2869,yahoo
1377,2024-09,3410.501,yahoo
1377,2024-10,3285.6094,yahoo
1377,2024-11,3358.696,yahoo
1377,2024-12,3557.4067,yahoo
1377,2025-01,3295.6899,yahoo
1377,2025-02,3271.457,yahoo
1377,2025-03,3203.6047,yahoo
1377,2025-04,3349.0027,yahoo
1377,2025-05,3442.238,yahoo
1377,2025-06,3339.1179,yahoo
1377,2025-07,3520.8054,yahoo
1377,2025-08,3579.731,yahoo
1377,2025-09,3879.2695,yahoo
1377,2025-10,4080.5986,yahoo
1377,2025-11,4229.3818,yahoo
1377,2025-12,4016.4268,yahoo
1377,2026-01,4368.0498,yahoo
1377,2026-02,4269.001,yahoo
1377,2026-03,4085.761,yahoo
1377,2026-04,4090.7134,yahoo
1377,2026-05,4185.0,yahoo
1377,2026-06,4185.0,yahoo
1379,2023-07,1684.9929,yahoo
1379,2023-08,1676.7014,yahoo
1379,2023-09,1681.1925,yahoo
1379,2023-10,1624.6896,yahoo
1379,2023-11,1608.0167,yahoo
1379,2023-12,1666.3721,yahoo
1379,2024-01,1668.2245,yahoo
1379,2024-02,1725.6538,yahoo
1379,2024-03,1731.8964,yahoo
1379,2024-04,1722.4325,yahoo
1379,2024-05,1798.1438,yahoo
1379,2024-06,1812.3396,yahoo
1379,2024-07,1777.3231,yahoo
1379,2024-08,1723.3789,yahoo
1379,2024-09,1731.9489,yahoo
1379,2024-10,1650.1094,yahoo
1379,2024-11,1714.8196,yahoo
1379,2024-12,1737.6583,yahoo
1379,2025-01,1807.1267,yahoo
1379,2025-02,1775.7233,yahoo
1379,2025-03,1788.657,yahoo
1379,2025-04,1745.8848,yahoo
1379,2025-05,1747.8289,yahoo
1379,2025-06,1794.4895,yahoo
1379,2025-07,1821.7083,yahoo
1379,2025-08,1855.7316,yahoo
1379,2025-09,1782.2715,yahoo
1379,2025-10,2053.9116,yahoo
1379,2025-11,1977.696,yahoo
1379,2025-12,1934.7026,yahoo
1379,2026-01,1965.9706,yahoo
1379,2026-02,1859.4642,yahoo
1379,2026-03,1828.0,yahoo
1379,2026-04,1820.0,yahoo
1379,2026-05,1837.0,yahoo
1379,2026-06,1837.0,yahoo
137A,2024-01,2735.0,yahoo
137A,2024-02,1957.0,yahoo
137A,2024-03,1576.0,yahoo
137A,2024-04,1538.0,yahoo
137A,2024-05,1605.0,yahoo
137A,2024-06,1453.0,yahoo
137A,2024-07,1167.0,yahoo
137A,2024-08,1173.0,yahoo
137A,2024-09,1117.0,yahoo
137A,2024-10,1092.0,yahoo
137A,2024-11,980.0,yahoo
137A,2024-12,1140.0,yahoo
137A,2025-01,1137.0,yahoo
137A,2025-02,1167.0,yahoo
137A,2025-03,1377.0,yahoo
137A,2025-04,1334.0,yahoo
137A,2025-05,1432.0,yahoo
137A,2025-06,1355.0,yahoo
137A,2025-07,1448.0,yahoo
137A,2025-08,1430.0,yahoo
137A,2025-09,1130.0,yahoo
137A,2025-10,1137.0,yahoo
137A,2025-11,1047.0,yahoo
137A,2025-12,789.0,yahoo
137A,2026-01,723.0,yahoo
137A,2026-02,700.0,yahoo
137A,2026-03,708.0,yahoo
137A,2026-04,606.0,yahoo
137A,2026-05,742.0,yahoo
137A,2026-06,742.0,yahoo
1380,2023-07,1019.7923,yahoo
1380,2023-08,1019.7923,yahoo
1380,2023-09,1012.015,yahoo
1380,2023-10,1002.2934,yahoo
1380,2023-11,997.4326,yahoo
1380,2023-12,1015.9036,yahoo
1380,2024-01,1021.7365,yahoo
1380,2024-02,1019.7923,yahoo
1380,2024-03,1015.4899,yahoo
1380,2024-04,1013.5276,yahoo
1380,2024-05,1015.4899,yahoo
1380,2024-06,1030.2072,yahoo
1380,2024-07,982.1308,yahoo
1380,2024-08,986.0554,yahoo
1380,2024-09,980.1685,yahoo
1380,2024-10,986.0554,yahoo
1380,2024-11,973.3005,yahoo
1380,2024-12,1000.7726,yahoo
1380,2025-01,984.0931,yahoo
1380,2025-02,998.8104,yahoo
1380,2025-03,984.8807,yahoo
1380,2025-04,981.9083,yahoo
1380,2025-05,973.9817,yahoo
1380,2025-06,1022.5322,yahoo
1380,2025-07,1001.7248,yahoo
1380,2025-08,1015.5964,yahoo
1380,2025-09,983.89,yahoo
1380,2025-10,986.8624,yahoo
1380,2025-11,998.7523,yahoo
1380,2025-12,1006.6789,yahoo
1380,2026-01,1053.2477,yahoo
1380,2026-02,1016.5872,yahoo
1380,2026-03,1000.0,yahoo
1380,2026-04,1005.0,yahoo
1380,2026-05,999.0,yahoo
1380,2026-06,999.0,yahoo
1381,2023-07,2824.5479,yahoo
1381,2023-08,2787.1985,yahoo
1381,2023-09,2683.5537,yahoo
1381,2023-10,2670.4814,yahoo
1381,2023-11,2686.3547,yahoo
1381,2023-12,2769.4573,yahoo
1381,2024-01,2847.8911,yahoo
1381,2024-02,2903.915,yahoo
1381,2024-03,2927.2585,yahoo
1381,2024-04,2959.9392,yahoo
1381,2024-05,2782.5295,yahoo
1381,2024-06,2836.6418,yahoo
1381,2024-07,2730.6531,yahoo
1381,2024-08,2708.4919,yahoo
1381,2024-09,2537.9465,yahoo
1381,2024-10,2517.7124,yahoo
1381,2024-11,2546.6184,yahoo
1381,2024-12,2595.7585,yahoo
1381,2025-01,2670.9141,yahoo
1381,2025-02,2817.3711,yahoo
1381,2025-03,2852.0583,yahoo
1381,2025-04,3078.4885,yahoo
1381,2025-05,2803.8816,yahoo
1381,2025-06,3015.0,yahoo
1381,2025-07,3055.0,yahoo
1381,2025-08,3050.0,yahoo
1381,2025-09,3220.0,yahoo
1381,2025-10,4155.0,yahoo
1381,2025-11,4145.0,yahoo
1381,2025-12,4245.0,yahoo
1381,2026-01,3980.0,yahoo
1381,2026-02,3645.0,yahoo
1381,2026-03,3820.0,yahoo
1381,2026-04,3815.0,yahoo
1381,2026-05,3535.0,yahoo
1381,2026-06,3535.0,yahoo
1382,2023-07,1645.9285,yahoo
1382,2023-08,2306.2083,yahoo
1382,2023-09,1843.4399,yahoo
