hiddenScore,score,qualityRank,code,name,market,sector,status,judgement,signal,strategy,priceScore,winRate,averageReturn,maxDrawdown,periodReturn,trades,timingAction,assistAction,qualityNote,comment,nextCheck,caution,reason
132.9,132.9,132.9,6822,"Oi Electric Co.,Ltd.",Standard Market(Domestic),Electric Appliances,未発掘の財務確認候補,良さそう,上昇中押し目,上昇中押し目,55,75,8.1,-6.2,105.4,4,今すぐ財務確認,今すぐ財務確認,財務確認前,価格上は上昇中の押し目に近いです。買う前に財務と材料をすぐ確認します,BPS、EPS、現金、有利子負債、直近決算,なし,既存候補外で上昇中の押し目に見える
132.6,132.6,132.6,9338,INFORICH INC.,Growth Market(Domestic),Services,押し目待ちで監視,中立,高値圏,高値更新,109.1,100,46.5,0,50.7,1,高値なので待つ,高値なので待つ,飛びつき注意,価格検証は強いですが、高値圏または急騰後です。押し目が出るまで待ちます,押し目、出来高継続、材料,検証回数少なめ / 高値圏,高値更新型で勢いがある
132.5,132.5,132.5,7376,"BCC Co.,Ltd.",Growth Market(Domestic),Services,未発掘の財務確認候補,中立,上昇中押し目,安値反転,81,100,27.2,-1.3,82.2,1,財務確認して監視,財務確認して監視,検証回数少なめ,押し目候補ですが、通常候補へ入れる前に財務確認が必要です,BPS、EPS、現金、有利子負債、直近決算,検証回数少なめ,既存候補外で上昇中の押し目に見える
132.2,132.2,132.2,6189,Global Kids Company Corp.,Standard Market(Domestic),Services,様子見候補,中立,待ち,安値反転,84.1,100,32.8,-1.2,38.6,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,安値反転の検証が良い
130,130,130,7733,OLYMPUS CORPORATION,Prime Market (Domestic),Precision Instruments,様子見候補,中立,待ち,安値反転,82.2,100,31.1,0,-15.6,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,安値反転の検証が良い
128.9,128.9,128.9,3941,"Rengo Co.,Ltd.",Prime Market (Domestic),Pulp and Paper,未発掘の財務確認候補,良さそう,上昇中押し目,高値更新,53.1,75,8.1,-7.8,94.6,4,今すぐ財務確認,今すぐ財務確認,財務確認前,価格上は上昇中の押し目に近いです。買う前に財務と材料をすぐ確認します,BPS、EPS、現金、有利子負債、直近決算,なし,既存候補外で上昇中の押し目に見える
128.2,128.2,128.2,7771,"Nihon Seimitsu Co.,Ltd.",Standard Market(Domestic),Precision Instruments,押し目待ちで監視,中立,待ち,安値反転,101.4,100,40.7,0,265.1,1,高値なので待つ,高値なので待つ,飛びつき注意,価格検証は強いですが、高値圏または急騰後です。押し目が出るまで待ちます,押し目、出来高継続、材料,検証回数少なめ / 急騰後,安値反転の検証が良い
128.2,128.2,128.2,5381,Mipox Corporation,Standard Market(Domestic),Glass and Ceramics Products,未発掘の財務確認候補,中立,上昇中押し目,安値反転,78.3,100,26.1,-1.6,143.8,1,財務確認して監視,財務確認して監視,検証回数少なめ,押し目候補ですが、通常候補へ入れる前に財務確認が必要です,BPS、EPS、現金、有利子負債、直近決算,検証回数少なめ,既存候補外で上昇中の押し目に見える
127.6,127.6,127.6,6326,KUBOTA CORPORATION,Prime Market (Domestic),Machinery,未発掘の財務確認候補,良さそう,上昇中押し目,高値更新,53,66.7,9.9,-6,77,3,財務確認して監視,財務確認して監視,財務確認前,押し目候補ですが、通常候補へ入れる前に財務確認が必要です,BPS、EPS、現金、有利子負債、直近決算,なし,既存候補外で上昇中の押し目に見える
127,127,127,5943,NORITZ CORPORATION,Prime Market (Domestic),Metal Products,様子見候補,中立,待ち,安値反転,80.7,100,30.9,-0.9,17.4,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,安値反転の検証が良い
