hiddenScore,score,qualityRank,code,name,market,sector,status,judgement,signal,strategy,priceScore,winRate,averageReturn,maxDrawdown,periodReturn,trades,timingAction,assistAction,qualityNote,comment,nextCheck,caution,reason
120.2,120.2,120.2,8364,"THE SHIMIZU BANK,LTD.",Prime Market (Domestic),Banks,未発掘の監視候補,良さそう,待ち,高値更新,61.9,100,13.9,-5.7,80,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
120.2,120.2,120.2,7266,"Imasen Electric Industrial Co.,Ltd.",Standard Market(Domestic),Transportation Equipment,未発掘の監視候補,良さそう,待ち,高値更新,61,100,12.1,-3.5,34.1,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
120.1,120.1,120.1,8804,"Tokyo Tatemono Co.,Ltd.",Prime Market (Domestic),Real Estate,未発掘の監視候補,良さそう,待ち,高値更新,61.7,100,13.4,-5.2,32,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
120,120,120,7989,TACHIKAWA CORPORATION,Prime Market (Domestic),Metal Products,様子見候補,中立,待ち,安値反転,75.9,100,27.9,0,57.8,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,安値反転の検証が良い
120,120,120,6351,"TSURUMI MANUFACTURING CO.,LTD.",Prime Market (Domestic),Machinery,未発掘の監視候補,良さそう,待ち,安値反転,60.6,100,11.6,-2.9,31.7,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
120,120,120,5852,AHRESTY CORPORATION,Prime Market (Domestic),Nonferrous Metals,未発掘の監視候補,良さそう,待ち,安値反転,59.4,100,9.2,0,-1,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
119.9,119.9,119.9,1719,HAZAMA ANDO CORPORATION,Prime Market (Domestic),Construction,未発掘の監視候補,良さそう,安値反転候補,高値更新,64.8,100,9.5,-4.3,21.1,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
119.7,119.7,119.7,4247,"POVAL KOGYO CO.,LTD.",Standard Market(Domestic),Chemicals,未発掘の監視候補,良さそう,安値反転候補,高値更新,64.5,100,9,-3.8,11.8,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
119.7,119.7,119.7,7481,"OIE SANGYO CO.,LTD.",Standard Market(Domestic),Wholesale Trade,未発掘の監視候補,良さそう,待ち,安値反転,60.2,100,11,-2.3,24.4,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
119.5,119.5,119.5,2004,"Showa Sangyo Co.,Ltd.",Prime Market (Domestic),Foods,未発掘の監視候補,良さそう,待ち,安値反転,59.4,100,9.7,-0.8,14.3,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
119.5,119.5,119.5,1723,"NIHON DENGI CO.,LTD.",Standard Market(Domestic),Construction,未発掘の監視候補,良さそう,待ち,高値更新,58.9,83.3,10.5,-6,125.9,6,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
119.3,119.3,119.3,9475,"Shobunsha Holdings,Inc.",Standard Market(Domestic),Information & Communication,未発掘の監視候補,良さそう,安値反転候補,高値更新,64,100,8.5,-3.3,19.2,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
119.3,119.3,119.3,6440,JUKI CORPORATION,Prime Market (Domestic),Machinery,未発掘の監視候補,良さそう,待ち,上昇中押し目,59.8,100,10.7,-2.1,54,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
119.2,119.2,119.2,138A,"Hikari Food Service Co.,Ltd.",Growth Market(Domestic),Retail Trade,未発掘の監視候補,良さそう,待ち,上昇中押し目,59.6,100,10.3,-1.7,58.9,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
119.1,119.1,119.1,1966,TAKADA CORPORATION,Standard Market(Domestic),Construction,未発掘の監視候補,良さそう,待ち,高値更新,58.9,100,9,-0.1,13.1,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
119,119,119,8059,"DAIICHI JITSUGYO CO.,LTD.",Prime Market (Domestic),Wholesale Trade,未発掘の監視候補,良さそう,安値反転候補,高値更新,64.9,100,10.5,-5.9,31.7,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
119,119,119,7971,TOLI Corporation,Standard Market(Domestic),Chemicals,未発掘の監視候補,良さそう,待ち,高値更新,59.6,100,10.4,-1.9,33.3,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
119,119,119,7084,Smile Holdings Inc.,Growth Market(Domestic),Services,未発掘の監視候補,良さそう,待ち,高値更新,58.8,100,8.9,0,62.8,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
118.4,118.4,118.4,7213,LECIP HOLDINGS CORPORATION,Standard Market(Domestic),Transportation Equipment,未発掘の監視候補,良さそう,待ち,安値反転,59.7,100,11.3,-3.2,35,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
118.1,118.1,118.1,6254,"Nomura Micro Science Co.,Ltd.",Prime Market (Domestic),Machinery,未発掘の監視候補,良さそう,待ち,上昇中押し目,60.2,100,12.4,-4.7,111.2,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
118.1,118.1,118.1,4502,Takeda Pharmaceutical Company Limited,Prime Market (Domestic),Pharmaceutical,未発掘の監視候補,良さそう,待ち,高値更新,58.2,100,8.6,0,14.9,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
118,118,118,6706,"DKK Co.,Ltd.",Prime Market (Domestic),Electric Appliances,未発掘の監視候補,良さそう,待ち,上昇中押し目,59.4,100,10.9,-2.9,57,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
117.6,117.6,117.6,4507,"Shionogi & Co.,Ltd.",Prime Market (Domestic),Pharmaceutical,未発掘の監視候補,良さそう,待ち,高値更新,60.1,100,12.7,-5.3,13.8,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
117.6,117.6,117.6,2894,"Ishii Food Co.,Ltd.",Standard Market(Domestic),Foods,未発掘の監視候補,良さそう,待ち,上昇中押し目,58,100,8.7,-0.3,1.9,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
117.5,117.5,117.5,6743,"Daido Signal Co.,Ltd.",Standard Market(Domestic),Electric Appliances,未発掘の監視候補,良さそう,待ち,高値更新,60.7,100,13.9,-6.8,68.2,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
117.5,117.5,117.5,2907,"AHJIKAN CO.,LTD.",Standard Market(Domestic),Foods,未発掘の監視候補,良さそう,待ち,安値反転,59.2,100,11.1,-3.3,14.7,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
117.4,117.4,117.4,5237,NOZAWA CORPORATION,Standard Market(Domestic),Glass and Ceramics Products,未発掘の監視候補,良さそう,待ち,安値反転,58.4,100,9.6,-1.5,33.1,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
117.2,117.2,117.2,8065,SATO SHO-JI CORPORATION,Prime Market (Domestic),Wholesale Trade,未発掘の監視候補,良さそう,待ち,上昇中押し目,60.1,100,13,-5.8,110.9,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
117,117,117,6670,"MCJ Co.,Ltd.",Standard Market(Domestic),Electric Appliances,未発掘の監視候補,良さそう,待ち,上昇中押し目,58.9,100,10.9,-3.3,63.5,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
117,117,117,157A,Green Monster Inc.,Growth Market(Domestic),Services,未発掘の監視候補,良さそう,待ち,高値更新,57.8,80,12.2,-8,72.6,5,監視候補,監視候補,財務確認前,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
116.7,116.7,116.7,4031,Katakura & Co-op Agri Corporation,Standard Market(Domestic),Chemicals,様子見候補,中立,待ち,安値反転,73.8,100,26.9,0,4.3,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,安値反転の検証が良い
116.7,116.7,116.7,5301,"TOKAI CARBON CO.,LTD.",Prime Market (Domestic),Glass and Ceramics Products,未発掘の監視候補,良さそう,待ち,安値反転,58.4,100,10.3,-2.6,71.8,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
116.6,116.6,116.6,6614,"Shikino High-Tech CO.,LTD.",Standard Market(Domestic),Electric Appliances,未発掘の財務確認候補,中立,上昇中押し目,安値反転,73.5,100,27.5,-7.8,-11.3,1,財務確認して監視,財務確認して監視,検証回数少なめ,押し目候補ですが、通常候補へ入れる前に財務確認が必要です,BPS、EPS、現金、有利子負債、直近決算,検証回数少なめ,既存候補外で上昇中の押し目に見える
116.6,116.6,116.6,6955,FDK CORPORATION,Standard Market(Domestic),Electric Appliances,未発掘の財務確認候補,中立,上昇中押し目,安値反転,70.3,100,21.1,0,41.3,1,財務確認して監視,財務確認して監視,検証回数少なめ,押し目候補ですが、通常候補へ入れる前に財務確認が必要です,BPS、EPS、現金、有利子負債、直近決算,検証回数少なめ,既存候補外で上昇中の押し目に見える
116.6,116.6,116.6,3423,S E Corporation,Standard Market(Domestic),Metal Products,未発掘の監視候補,良さそう,待ち,上昇中押し目,58.7,100,10.9,-3.4,6,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
116.5,116.5,116.5,3393,"Startia Holdings,Inc.",Prime Market (Domestic),Wholesale Trade,未発掘の監視候補,良さそう,待ち,安値反転,58.5,100,10.5,-3,6.9,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
116.5,116.5,116.5,8938,"GLOME Holdings,Inc.",Growth Market(Domestic),Real Estate,未発掘の監視候補,良さそう,待ち,安値反転,57.2,100,8.1,0,-59.5,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
116.2,116.2,116.2,7868,"KOSAIDO Holdings Co.,Ltd.",Prime Market (Domestic),Other Products,未発掘の監視候補,良さそう,待ち,上昇中押し目,58.1,100,10.2,-2.7,10.2,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
116.1,116.1,116.1,9270,Valuence Holdings Inc.,Growth Market(Domestic),Wholesale Trade,未発掘の監視候補,良さそう,待ち,上昇中押し目,59.3,100,12.6,-5.7,159.2,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
116,116,116,3221,"Yossix Holdings Co.,Ltd.",Prime Market (Domestic),Retail Trade,未発掘の監視候補,良さそう,待ち,高値更新,58.7,100,11.4,-4.3,27.6,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
115.9,115.9,115.9,6762,TDK Corporation,Prime Market (Domestic),Electric Appliances,未発掘の監視候補,良さそう,待ち,高値更新,55.7,75,11.2,-4.2,158.3,4,様子見,様子見,財務確認前,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
115.8,115.8,115.8,4960,"CHEMIPRO KASEI KAISHA,LTD.",Standard Market(Domestic),Chemicals,様子見候補,中立,待ち,高値更新,64.6,80,19.3,-14.1,133.3,5,様子見,様子見,財務確認前,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
115.7,115.7,115.7,3607,"KURAUDIA HOLDINGS CO.,LTD.",Standard Market(Domestic),Textiles and Apparels,未発掘の監視候補,良さそう,待ち,安値反転,57.2,100,8.9,-1.3,9.7,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
115.5,115.5,115.5,8344,"The Yamagata Bank,Ltd.",Prime Market (Domestic),Banks,未発掘の監視候補,良さそう,待ち,上昇中押し目,58.5,100,11.4,-4.5,122.7,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
115.5,115.5,115.5,9087,TAKASE CORPORATION,Standard Market(Domestic),Land Transportation,未発掘の監視候補,良さそう,待ち,上昇中押し目,58,100,10.5,-3.4,73.5,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
115.4,115.4,115.4,3352,"BUFFALO CO.,LTD.",Standard Market(Domestic),Retail Trade,未発掘の監視候補,良さそう,待ち,高値更新,57.7,100,10,-2.8,24.8,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
115.4,115.4,115.4,8255,Axial Retailing Inc.,Prime Market (Domestic),Retail Trade,未発掘の監視候補,良さそう,待ち,安値反転,57.4,100,9.5,-2.2,-3.7,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
115.3,115.3,115.3,8544,"The Keiyo Bank,Ltd.",Prime Market (Domestic),Banks,未発掘の監視候補,良さそう,待ち,上昇中押し目,58.6,100,11.8,-5.1,152.5,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
115.2,115.2,115.2,3930,"Hatena Co.,Ltd.",Growth Market(Domestic),Information & Communication,未発掘の監視候補,良さそう,待ち,安値反転,57.2,100,9.3,-2,-41.7,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
115.1,115.1,115.1,8005,Scroll Corporation,Prime Market (Domestic),Retail Trade,未発掘の監視候補,良さそう,待ち,高値更新,56.5,100,8.1,-0.5,55.2,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
114.9,114.9,114.9,5208,"Arisawa Mfg.Co.,Ltd.",Prime Market (Domestic),Chemicals,未発掘の監視候補,良さそう,待ち,上昇中押し目,57.3,100,9.8,-2.7,86.7,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
114.8,114.8,114.8,1867,UEKI CORPORATION,Standard Market(Domestic),Construction,未発掘の監視候補,良さそう,待ち,高値更新,57.3,100,10,-3,23,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
114.8,114.8,114.8,3561,"CHIKARANOMOTO HOLDINGS Co.,Ltd.",Prime Market (Domestic),Retail Trade,未発掘の監視候補,良さそう,待ち,安値反転,56.7,100,8.8,-1.5,14.1,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
114.8,114.8,114.8,3048,BIC CAMERA INC.,Prime Market (Domestic),Retail Trade,未発掘の監視候補,良さそう,待ち,安値反転,56.4,100,8.2,-0.8,12.4,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
114.6,114.6,114.6,2666,"AUTOWAVE Co.,Ltd.",Standard Market(Domestic),Retail Trade,未発掘の監視候補,良さそう,待ち,安値反転,57.5,100,10.5,-3.7,15.2,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
114.5,114.5,114.5,2408,"KG Intelligence CO.,LTD.",Standard Market(Domestic),Services,未発掘の財務確認候補,良さそう,上昇中押し目,上昇中押し目,60.7,100,7.3,-4.9,24,3,財務確認して監視,財務確認して監視,負けにくさ良好,押し目候補ですが、通常候補へ入れる前に財務確認が必要です,BPS、EPS、現金、有利子負債、直近決算,なし,既存候補外で上昇中の押し目に見える
114.4,114.4,114.4,1982,"Hibiya Engineering,Ltd.",Prime Market (Domestic),Construction,未発掘の財務確認候補,良さそう,上昇中押し目,上昇中押し目,59.1,80,7,-5,78,5,財務確認して監視,財務確認して監視,負けにくさ良好,押し目候補ですが、通常候補へ入れる前に財務確認が必要です,BPS、EPS、現金、有利子負債、直近決算,なし,既存候補外で上昇中の押し目に見える
114.2,114.2,114.2,7035,"and factory,inc",Standard Market(Domestic),Services,未発掘の監視候補,良さそう,待ち,安値反転,57,100,9.7,-2.9,-5.4,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
114.2,114.2,114.2,5821,HIRAKAWA HEWTECH CORP.,Prime Market (Domestic),Nonferrous Metals,未発掘の監視候補,良さそう,待ち,高値更新,54.4,75,10.4,-3.8,142.3,4,様子見,様子見,財務確認前,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
114.1,114.1,114.1,3011,"BANNERS CO.,LTD.",Standard Market(Domestic),Retail Trade,様子見候補,中立,待ち,高値更新,72.4,100,26.5,-0.6,7.8,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,高値更新型で勢いがある
114.1,114.1,114.1,9767,"NIKKEN KOGAKU CO.,LTD.",Standard Market(Domestic),Services,未発掘の監視候補,良さそう,待ち,安値反転,57.1,100,10.2,-3.5,8.4,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
114.1,114.1,114.1,9036,"TOHBU NETWORK CO.,LTD.",Standard Market(Domestic),Land Transportation,未発掘の監視候補,良さそう,待ち,高値更新,56.9,100,10.1,-6.2,41.9,3,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
114,114,114,7875,"TAKEDA iP HOLDINGS CO.,LTD.",Standard Market(Domestic),Other Products,押し目待ちで監視,良さそう,高値圏,上昇中押し目,69.7,100,13,-2,88.7,5,高値なので待つ,高値なので待つ,飛びつき注意,価格検証は強いですが、高値圏または急騰後です。押し目が出るまで待ちます,押し目、出来高継続、材料,高値圏,価格検証で候補圏に残った
114,114,114,5741,UACJ Corporation,Prime Market (Domestic),Nonferrous Metals,未発掘の監視候補,良さそう,待ち,高値更新,55.5,80,10.5,-7.1,125.1,5,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
113.9,113.9,113.9,6942,"SOPHIA HOLDINGS CO.,LTD.",Standard Market(Domestic),Information & Communication,未発掘の監視候補,良さそう,待ち,安値反転,56.1,100,8.5,-1.5,23.4,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
113.9,113.9,113.9,9001,"TOBU RAILWAY CO.,LTD.",Prime Market (Domestic),Land Transportation,未発掘の監視候補,良さそう,待ち,安値反転,55.9,100,8.1,-1,13.5,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
113.8,113.8,113.8,4437,"gooddays holdings,Inc.",Growth Market(Domestic),Information & Communication,様子見候補,中立,待ち,安値反転,72.3,100,26.6,-0.8,18.2,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,安値反転の検証が良い
113.8,113.8,113.8,6029,Artra Group Corporation,Standard Market(Domestic),Services,未発掘の財務確認候補,中立,上昇中押し目,安値反転,68.8,100,20.8,-0.7,30.3,1,財務確認して監視,財務確認して監視,検証回数少なめ,押し目候補ですが、通常候補へ入れる前に財務確認が必要です,BPS、EPS、現金、有利子負債、直近決算,検証回数少なめ,既存候補外で上昇中の押し目に見える
113.6,113.6,113.6,4189,"KH Neochem Co.,Ltd.",Prime Market (Domestic),Chemicals,未発掘の財務確認候補,中立,上昇中押し目,安値反転,68.4,100,20.2,0,9.3,1,財務確認して監視,財務確認して監視,検証回数少なめ,押し目候補ですが、通常候補へ入れる前に財務確認が必要です,BPS、EPS、現金、有利子負債、直近決算,検証回数少なめ,既存候補外で上昇中の押し目に見える
113.5,113.5,113.5,5711,Mitsubishi Materials Corporation,Prime Market (Domestic),Nonferrous Metals,未発掘の監視候補,良さそう,待ち,高値更新,55,80,10,-6.7,114.7,5,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
113.3,113.3,113.3,7955,Cleanup Corporation,Prime Market (Domestic),Other Products,未発掘の監視候補,良さそう,安値反転候補,高値更新,61.4,100,8.8,-6.1,35.4,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
113.2,113.2,113.2,2970,"GLC GROUP,INC.",Standard Market(Domestic),Real Estate,未発掘の財務確認候補,中立,上昇中押し目,安値反転,69.8,100,23.2,-3.9,41.9,1,財務確認して監視,財務確認して監視,検証回数少なめ,押し目候補ですが、通常候補へ入れる前に財務確認が必要です,BPS、EPS、現金、有利子負債、直近決算,検証回数少なめ,既存候補外で上昇中の押し目に見える
113.2,113.2,113.2,4528,"ONO PHARMACEUTICAL CO.,LTD.",Prime Market (Domestic),Pharmaceutical,未発掘の監視候補,良さそう,待ち,高値更新,55.9,100,9.3,-5.5,49.8,3,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
113.2,113.2,113.2,9130,"KYOEI TANKER CO.,LTD.",Standard Market(Domestic),Marine Transportation,未発掘の監視候補,良さそう,待ち,高値更新,55.2,75,12.9,-7.3,38,4,様子見,様子見,財務確認前,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
113,113,113,6369,TOYO KANETSU K.K.,Prime Market (Domestic),Machinery,未発掘の監視候補,良さそう,待ち,高値更新,57.2,100,11.4,-5.4,20.4,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
112.8,112.8,112.8,4438,Welby Inc.,Growth Market(Domestic),Information & Communication,様子見候補,中立,待ち,安値反転,72.3,100,27.6,-2.4,-28.9,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,安値反転の検証が良い
112.7,112.7,112.7,9768,"IDEA Consultants,Inc.",Standard Market(Domestic),Services,様子見候補,中立,安値反転候補,上昇中押し目,83.8,100,26.9,0,17,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,価格検証で候補圏に残った
112.7,112.7,112.7,8001,ITOCHU Corporation,Prime Market (Domestic),Wholesale Trade,未発掘の監視候補,良さそう,待ち,高値更新,55.9,100,9.1,-2.7,23.3,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
112.7,112.7,112.7,7322,"San ju San Financial Group,Inc.",Prime Market (Domestic),Banks,未発掘の監視候補,良さそう,待ち,上昇中押し目,52.8,75,8.7,-2.3,140.7,4,様子見,様子見,財務確認前,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
112.6,112.6,112.6,2751,"TENPOS HOLDINGS Co.,Ltd.",Standard Market(Domestic),Wholesale Trade,未発掘の監視候補,良さそう,待ち,安値反転,56.2,100,9.8,-3.6,8.9,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
112.6,112.6,112.6,7466,SPK CORPORATION,Prime Market (Domestic),Wholesale Trade,未発掘の監視候補,良さそう,待ち,安値反転,56.2,100,9.7,-3.5,15.6,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
112.6,112.6,112.6,3116,TOYOTA BOSHOKU CORPORATION,Prime Market (Domestic),Transportation Equipment,未発掘の監視候補,良さそう,待ち,上昇中押し目,55.7,100,8.8,-2.4,13.5,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
112.5,112.5,112.5,1847,"ICHIKEN Co.,Ltd.",Standard Market(Domestic),Construction,未発掘の監視候補,良さそう,待ち,高値更新,53.8,75,10.7,-4.9,77.2,4,様子見,様子見,財務確認前,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
112.3,112.3,112.3,4061,Denka Company Limited,Prime Market (Domestic),Chemicals,押し目待ちで監視,良さそう,高値圏,上昇中押し目,69.4,100,14.7,0,121.2,3,高値なので待つ,高値なので待つ,飛びつき注意,価格検証は強いですが、高値圏または急騰後です。押し目が出るまで待ちます,押し目、出来高継続、材料,高値圏,価格検証で候補圏に残った
