code,period,announcedAt,documentTitle,sourceUrl,sales,salesPrevious,salesGrowthRate,operatingProfit,operatingProfitPrevious,operatingProfitGrowthRate,ordinaryProfit,ordinaryProfitPrevious,netIncome,netIncomePrevious,operatingProfitTurnaround
3352,2027Q1,2026-08-08,2027年3月期 第1四半期決算短信,https://ganan-finance.com/3352,3356,3208,4.6,150,123,22,163,141,116,88,false
3435,2027Q1,2026-08-06,2027年3月期 第1四半期決算短信,https://financialfilings.com/filings/sanko-techno-coltd/interim-quarterly-report/2026/49988232/,5614,4871,15.3,491,279,75.8,521,279,383,186,false
3953,2027Q1,2026-08-10,2027年3月期 第1四半期決算短信,https://finance.yahoo.co.jp/quote/3953.Q/financials,1553,1507,3.1,132,71,86,140,76,88,51,false
5997,2026Q1,2026-05-13,2026年12月期 第1四半期決算短信,https://s.kabutan.jp/news/k202605130173/,2831,2890,-2,235,200,17.5,241,206,162,157,false
7551,2027Q1,2026-07-29,2027年3月期 第1四半期決算短信,https://www.weds.co.jp/ir/,7200,6588,9.3,100,56,79.4,100,58,60,34,false
9876,2027Q1,2026-07-10,2027年2月期 第1四半期決算短信,https://www.cox-online.co.jp/ir/library/finance.html?y=2027,3802,3769,0.9,328,469,-29.9,360,516,261,426,false
